brand,name,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty,price
Lenovo,IdeaPad Gaming 3 82SB00V2IN Laptop,60.0,6th Gen AMD Ryzen 5 6600H,"Hexa Core, 12 Threads",8,DDR4,512,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,56889
Acer,Predator Helios Neo 16 2023 PHN16-71 Gaming Laptop,78.0,13th Gen Intel Core i9 13900HX,"24 Cores (8P + 16E), 32 Threads",16,DDR5,1024,SSD,8GB NVIDIA GeForce RTX 4070,16.0,1920.0,1200.0,Windows 11 OS,1,179880
HP,Victus 15-fb0150AX Gaming Laptop,71.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16,DDR4,512,SSD,4GB AMD Radeon RX 6500M Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,53790
Acer,Aspire Lite AL15 Laptop,60.0,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",16,DDR4,512,SSD,AMD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,37990
Acer,Nitro 5 AN515-58 NH.QFSSI.001 Gaming Laptop,77.0,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16,DDR4,1024,SSD,8GB NVIDIA GeForce RTX 3070 Ti,15.6,2560.0,1440.0,Windows 11 OS,1,96990
HP,Pavilion 15-eg3081TU Laptop,66.0,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16,DDR4,512,SSD,Intel Integrated Integrated,15.6,1920.0,1080.0,Windows 11 OS,1,71990
HP,Victus 16-d0333TX Gaming Laptop,75.0,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce GTX 1650,16.1,1920.0,1080.0,Windows 11 OS,1,59990
Lenovo,IdeaPad Slim 5 14IAH8 83BF0045IN Laptop,60.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16,LPDDR5,1024,SSD,Intel Graphics,14.0,1920.0,1200.0,Windows 11 OS,1,62990
Infinix,INBook X3 Slim XL422 2023 Laptop,69.32352941176471,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,LPDDR4X,512,SSD,Intel Integrated Iris Xe,14.0,1920.0,1080.0,Windows 11 OS,1,30990
Lenovo,LOQ 15IRH8 82XV00F5IN 2023 Gaming Laptop,70.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16,DDR5,512,SSD,6GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,74990
HP,15s-fr2515TU Laptop,60.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8,DDR4,512,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,36490
Dell,G15-5520 2023 Laptop,73.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16,DDR5,1024,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,77990
Samsung,Galaxy Book2 NP550XED-KA2IN Laptop,62.0,12th Gen Intel Core i5 1235U ,"10 Cores (2P + 8E), 12 Threads",16,LPDDR4,512,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,54990
Lenovo,IdeaPad 3 15IAU7 82RK00WXIN Laptop,69.32352941176471,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,DDR4,256,SSD,Intel UHD Graphics ,15.6,1920.0,1080.0,Windows 11 OS,1,41190
Asus,ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop,70.0,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",16,DDR5,512,SSD,6GB NVIDIA GeForce RTX 3050,16.0,1920.0,1200.0,Windows 11 OS,1,89990
Lenovo,Legion 9i 2023 Laptop,84.0,13th Gen Intel Core i9 13980HX,"24 Cores (8P + 16E), 32 Threads",32,DDR5,1024,SSD,16GB NVIDIA GeForce RTX 4090,16.0,3200.0,2000.0,Windows 11 OS,1,399999
Wings,Nuvobook V1 Laptop,69.32352941176471,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8,DDR4,512,SSD,Intel Graphics,15.6,1080.0,1920.0,Windows 11 OS,1,31990
Dell,Inspiron 3525 Laptop,69.32352941176471,5th Gen AMD Ryzen 3 5300U,"Quad Core, 8 Threads",8,DDR4,512,SSD,AMD Radeon Radeon Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,31490
HP,Victus 15-fa0555TX  Laptop,71.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,70590
Asus,TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop,78.0,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16,DDR4,512,SSD,8GB NVIDIA GeForce RTX 4060,15.6,1920.0,1080.0,Windows 11 OS,1,104990
Lenovo,V15 82QYA00MIN Laptop,69.32352941176471,Intel Celeron  N4020,"Dual Core, 2 Threads",8,DDR4,256,SSD,Intel Integrated Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,23990
HP,255 G9 7B1L8PA Laptop,64.0,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",8,DDR4,512,SSD,AMD Radeon Graphics,15.6,1366.0,768.0,Windows 11 OS,1,37999
Honor,MagicBook X14 2023 ‎FRI-F56 Laptop,66.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16,DDR4,512,SSD,Intel UHD Graphics,14.0,1920.0,1200.0,Windows 11 OS,1,52990
Lenovo,V15 82KDA01BIH Laptop,62.0,5th Gen AMD Ryzen 3 5300U,"Quad Core, 8 Threads",8,DDR4,512,SSD,AMD Radeon Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,30849
HP,Victus 15-fa0070TX Laptop,70.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8,DDR4,512,SSD,4GB NVIDIA GeForce GTX 1650,15.6,1920.0,1080.0,Windows 11 OS,1,58990
Zebronics,ZEB-NBC 2S Laptop,63.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16,LPDDR4X,512,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,34990
Lenovo,ThinkBook 15 Gen 5 21JF0026MJ Laptop,69.0,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",16,DDR4,512,SSD,AMD Radeon AMD,16.0,1920.0,1080.0,Windows 11 OS,1,49990
HP,15S-FQ5202TU Laptop,69.32352941176471,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8,DDR4,512,SSD,Intel Iris Xe Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,51780
Asus,TUF Gaming F15 FX506HE-HN382W Gaming Laptop,71.0,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce RTX 3050 Ti,15.6,1920.0,1080.0,Windows 11 OS,1,68990
Asus,TUF Gaming F15 FX577ZC-HN192W Gaming Laptop,76.0,12th Gen Intel Core i7 12700H ,"14 Cores, 20 Threads",16,DDR5,1024,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,85990
Lenovo,LOQ 15IRH8 82XV00BQIN 2023 Gaming Laptop,67.0,13th Gen Intel Core i7 13620H,"10 Cores (6P + 4E), 16 Threads",16,DDR5,512,SSD,6GB NVIDIA GeForce RTX 4050,15.6,1920.0,1080.0,Windows 11 OS,1,96990
Lenovo,Legion Y9000X 2023 Laptop,80.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",32,DDR5,1024,SSD,8GB NVIDIA GeForce RTX 4060,16.0,3200.0,2000.0,Windows 11 OS,1,148990
Asus,TUF Gaming F17 FX707ZC4-HX067W Gaming Laptop,75.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16,DDR5,512,SSD,4GB NVIDIA GeForce RTX 3050,17.3,1920.0,1080.0,Windows 11 OS,1,72990
Dell,Inspiron 5430 Laptop,66.0,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",16,LPDDR5,1024,SSD,Intel Iris Xe Graphics,14.0,1920.0,1200.0,Windows 11 OS,1,84490
Asus,Vivobook 15 X1502ZA-EJ741WS Laptop,67.0,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16,DDR4,512,SSD,Intel Iris Xe,15.6,1920.0,1080.0,Windows 11 OS,1,60990
Infinix,INBook X2 Slim Series XL23 Laptop,69.32352941176471,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16,LPDDR4X,512,SSD,Intel Integrated Iris Xe,14.0,1920.0,1080.0,Windows 11 OS,1,33990
Asus,VivoBook 14 X415EA-EK344WS Notebook,64.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",16,DDR4,512,SSD,Intel Integrated Intel UHD,14.0,1920.0,1080.0,Windows 11 OS,1,35990
Acer,Aspire 7 A715-76G NH.QMFSI.004 Gaming Laptop,70.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce GTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,60990
Xiaomi,Redmi Book 14 2023 Laptop,69.32352941176471,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16,DDR5,512,SSD,Intel Iris Xe Graphics,14.0,2880.0,1800.0,Windows 11 OS,1,43990
Asus,Vivobook 16X 2023 K3605ZF-MB541WS Laptop,72.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce RTX 2050,16.0,1920.0,1200.0,Windows 11 OS,1,62990
MSI,GF63 Thin 11UC-1294IN Gaming Laptop,76.0,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",16,DDR4,1024,Hard-Disk,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,65990
Infinix,INBook Y1 Plus Neo XL30 Laptop,69.32352941176471,11th Gen Intel Celeron N5100,"Quad Core, 4 Threads",8,LPDDR4X,512,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,23990
Asus,TUF Gaming F15 FX506HC-HN362WS Gaming Laptop,72.0,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,61990
Dell,Inspiron 3525 Laptop,62.0,5th Gen AMD Ryzen 3 5425U,"Quad Core, 8 Threads",8,DDR4,512,SSD,AMD Radeon Radeon Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,36990
Asus,Vivobook 16X 2022 M1603QA-MB511WS Laptop,65.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16,DDR4,512,SSD,AMD Radeon Vega 7 Graphics,16.0,1920.0,1200.0,Windows 11 OS,1,50970
Dell,Precision 5550 Laptop,70.0,10th Gen Intel Core i7 10750H,"Hexa Core, 12 Threads",16,DDR4,512,SSD,4GB NVIDIA ,15.6,1920.0,1200.0,Windows 10 OS,0,184999
HP,Omen 16-XD0007ax Gaming Laptop,76.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16,DDR5,1024,SSD,6GB NVIDIA GeForce RTX 4050,16.1,1920.0,1080.0,Windows 11 OS,1,109990
Zebronics,Pro Series Z ZEB-NBC 4S Laptop,69.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16,DDR4,512,SSD,Intel Integrated,15.6,1920.0,1080.0,Windows 11 OS,1,42990
HP,15s-fq5185TU Laptop,69.32352941176471,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,DDR4,512,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,39150
Acer,Swift Go NXKPZSI002 Laptop,64.0,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16,LPDDR5,512,SSD,Intel Integrated Iris Xe,14.0,2880.0,1800.0,Windows 11 OS,1,92999
HP,Victus 16-s0095AX Gaming Laptop,76.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16,DDR5,512,SSD,6GB NVIDIA GeForce RTX 3050,16.1,1920.0,1080.0,Windows 11 OS,1,80990
HP,Victus 15-FB1001AX Gaming Laptop,70.0,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",8,DDR5,512,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,55850
Acer,Aspire Lite AL15-51 UN.431SI.288 Laptop,64.0,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8,DDR4,512,SSD,Intel Iris XE Graphics ,15.6,1920.0,1080.0,Windows 11 OS,1,38990
MSI,Thin GF63 11UCX-1492IN Gaming Laptop,73.0,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",16,DDR4,1024,Hard-Disk,GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,53990
Infinix,INBook X3 Slim XL422 Laptop,69.32352941176471,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16,LPDDR4X,512,SSD,Intel Integrated Iris Xe,14.0,1920.0,1080.0,Windows 11 OS,1,38990
HP,Omen 16-xf0060AX Gaming Laptop,80.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16,DDR5,1024,SSD,8GB NVIDIA GeForce RTX 4060,16.0,1920.0,1080.0,Windows 11 OS,1,139234
MSI,Thin GF63 11UC-1490IN Gaming Laptop,73.0,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",16,DDR4,1024,Hard-Disk,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,57990
Lenovo,LOQ 2023 Gaming Laptop,64.0,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",8,DDR5,512,SSD,8GB NVIDIA GeForce RTX 4060,15.6,1920.0,1080.0,Windows 11 OS,1,89999
Acer,One 14 Z8-415 ‎2023 Laptop,60.0,11th Gen Intel Core i5  1135G7,"Quad Core, 8 Threads",16,DDR4,512,SSD,Intel Iris Xe Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,37990
Asus,VivoBook 14 X415EA-EK326WS Notebook,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8,DDR4,512,SSD,Intel Integrated Intel UHD,14.0,1920.0,1080.0,Windows 11 OS,1,30990
Dell,G15-5530 GN5530D83M6002ORB1 Gaming Laptop,71.0,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",16,DDR5,512,SSD,6GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,92990
HP,15s-fr5009TU Laptop,69.32352941176471,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,DDR4,512,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,42990
Asus,TUF Gaming F15 FX506HF-HN025W Gaming Laptop,72.0,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,59089
HP,Victus 15-fa0998TX Gaming Laptop,72.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,72999
HP,Omen 16-n0123AX Gaming Laptop,77.0,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",16,DDR5,1024,SSD,8GB NVIDIA GeForce RTX 3070 Ti ,16.1,2560.0,1440.0,Windows 11 OS,1,126742
Apple,MacBook Air 15 2023 Laptop,69.32352941176471,Apple M2,Octa Core (4P + 4E),8,DDR4,256,SSD,10-Core GPU,15.3,2880.0,1864.0,Mac OS,1,126990
Samsung,Galaxy Book2 NP550XED-KA1IN 15 Laptop,69.32352941176471,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8,LPDDR4,512,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,49990
Dell,Inspiron 5420 Laptop,62.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16,DDR5,512,SSD,Intel Integrated UHD,14.0,1920.0,1080.0,Windows 11 OS,1,74390
Dell,Inspiron 3520 D560871WIN9B Laptop,69.32352941176471,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8,DDR4,512,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,52990
Lenovo,IdeaPad Gaming 3 15IHU6 82K101EDIN Laptop,67.0,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",8,DDR4,512,SSD,4GB NVIDIA GeForce RTX 3050 Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,60990
HP,Omen 16-n0079AX Gaming Laptop,80.0,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",16,DDR5,512,SSD,8GB AMD Radeon RX 6650M,16.1,1920.0,1080.0,Windows 11 OS,1,98174
Lenovo,E41-55 Laptop,69.32352941176471,AMD Athlon Pro 3045B,"Dual Core, 2 Threads",8,DDR4,256,SSD,AMD Radeon Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,18990
Asus,VivoBook 15 X515EA-EJ522WS Laptop,60.0,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8,DDR4,512,SSD,Intel Integrated Iris Xe,15.6,1920.0,1080.0,Windows 11 OS,1,38990
HP,14s-fq1092au Laptop,64.0,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",8,DDR4,512,SSD,AMD Radeon AMD,14.0,1920.0,1080.0,Windows 11 OS,1,41950
Xiaomi,Mi Notebook Ultra Laptop,65.0,11th Gen Intel Core i5 11300H ,"Quad Core, 8 Threads",16,DDR4,512,SSD,Intel Iris Xe Graphics,15.6,3200.0,2000.0,Windows 10  OS,1,46990
iBall,Excelance CompBook Laptop,69.32352941176471,Intel Atom Quad Core Z3735F,Quad Core,2,DDR3,32,Hard-Disk,Intel HD Graphics,11.6,1366.0,768.0,Windows 10 OS,1,9999
Asus,Vivobook 15 X1502ZA-EJ385WS Laptop,69.32352941176471,12th Gen Intel Core i3 1220P,"10 Cores (2P + 8E), 12 Threads",8,DDR4,512,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,40990
Lenovo,IdeaPad Gaming 3 82SB00V5IN Laptop,67.0,6th Gen AMD Ryzen 7 6800H,"Octa Core, 16 Threads",8,DDR4,512,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,74990
Zebronics,ZEB-NBC 3S 2023 Laptop,65.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,DDR4,512,SSD,Intel Integrated,15.6,1920.0,1080.0,Windows 11 OS,1,33990
Zebronics,Pro Series Z ZEB-NBC 4S 2023 Laptop,66.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8,DDR4,512,SSD,Intel Integrated,15.6,1920.0,1080.0,Windows 11 OS,1,39990
Asus,CX1101CMA-GJ0004 Chromebook,69.32352941176471,Intel Celeron  N4020,"Dual Core, 2 Threads",4,LPDDR4,32,Hard-Disk,Intel UHD Graphics 600,11.6,1366.0,768.0,Chrome OS,1,10990
MSI,Katana 15 B13UDXK-1482IN Gaming Laptop,75.0,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",32,DDR5,1024,SSD,6GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,2,88990
HP,15s-fy5007TU Laptop,62.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8,DDR4,512,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,54990
